Entry Time,Exit Time,Type,Entry Price,Exit Price,Points,Net PnL,Reason
2026-01-21 06:50:00+00:00,2026-01-21 06:55:00+00:00,SELL,25185.85,25133.2,52.65,3302.28,Target Hit
2026-01-21 07:05:00+00:00,2026-01-21 07:15:00+00:00,SELL,25226.65,25279.3,-52.65,-3542.28,Stop Loss Hit
2026-01-22 03:45:00+00:00,2026-01-22 03:50:00+00:00,SELL,25318.0,25338.0,-20.0,-1420.0,Stop Loss Hit
2026-01-22 05:25:00+00:00,2026-01-22 06:20:00+00:00,BUY,25221.7,25202.45,-19.25,-1371.25,Stop Loss Hit
2026-01-22 09:00:00+00:00,2026-01-22 09:15:00+00:00,SELL,25276.2,25298.45,-22.25,-1566.25,Stop Loss Hit
2026-01-23 06:05:00+00:00,2026-01-23 06:10:00+00:00,BUY,25229.1,25211.6,-17.5,-1257.5,Stop Loss Hit
2026-01-27 04:10:00+00:00,2026-01-27 04:25:00+00:00,SELL,25147.6,25108.9,38.7,2395.45,Target Hit
2026-01-27 08:05:00+00:00,2026-01-27 09:05:00+00:00,BUY,25031.7,25092.4,60.7,3825.58,Target Hit
2026-01-27 09:45:00+00:00,2026-01-27 09:50:00+00:00,SELL,25202.9,25229.95,-27.05,-1878.17,Stop Loss Hit
2026-01-28 06:55:00+00:00,2026-01-28 07:50:00+00:00,BUY,25271.8,25238.3,-33.5,-2297.5,Stop Loss Hit
2026-01-28 09:15:00+00:00,2026-01-28 09:20:00+00:00,SELL,25280.5,25307.2,-26.7,-1855.45,Stop Loss Hit
2026-01-28 09:25:00+00:00,2026-01-28 09:45:00+00:00,SELL,25320.7,25350.55,-29.85,-2060.35,Stop Loss Hit
2026-01-29 05:40:00+00:00,2026-01-29 05:50:00+00:00,SELL,25257.8,25287.5,-29.7,-2050.45,Stop Loss Hit
2026-01-30 03:45:00+00:00,2026-01-30 03:50:00+00:00,BUY,25259.3,25238.85,-20.45,-1449.33,Stop Loss Hit
2026-01-30 03:55:00+00:00,2026-01-30 04:05:00+00:00,BUY,25242.0,25290.65,48.65,3042.28,Target Hit
2026-02-04 08:00:00+00:00,2026-02-04 08:20:00+00:00,SELL,25765.15,25786.25,-21.1,-1491.47,Stop Loss Hit
2026-02-04 09:55:00+00:00,2026-02-05 03:50:00+00:00,BUY,25737.5,25682.3,-55.2,-3707.95,Stop Loss Hit
2026-02-05 03:55:00+00:00,2026-02-05 04:10:00+00:00,BUY,25690.65,25635.15,-55.5,-3727.5,Stop Loss Hit
2026-02-05 09:30:00+00:00,2026-02-05 09:45:00+00:00,SELL,25665.25,25629.25,36.0,2220.0,Target Hit
2026-02-06 06:05:00+00:00,2026-02-06 06:35:00+00:00,SELL,25627.85,25593.95,33.9,2083.53,Target Hit
2026-02-09 07:20:00+00:00,2026-02-09 07:45:00+00:00,BUY,25822.35,25857.35,35.0,2155.0,Target Hit
2026-02-10 07:50:00+00:00,2026-02-10 08:25:00+00:00,BUY,25931.85,25910.85,-21.0,-1485.0,Stop Loss Hit
2026-02-10 09:30:00+00:00,2026-02-10 09:50:00+00:00,SELL,25951.4,25911.55,39.85,2470.22,Target Hit
2026-02-11 03:45:00+00:00,2026-02-11 04:05:00+00:00,SELL,25985.0,25933.6,51.4,3221.03,Target Hit
2026-02-11 07:00:00+00:00,2026-02-12 03:45:00+00:00,BUY,25926.25,25855.25,-71.0,-4735.0,Stop Loss Hit
2026-02-12 07:20:00+00:00,2026-02-12 08:15:00+00:00,SELL,25853.5,25817.5,36.0,2220.0,Target Hit
2026-02-13 07:00:00+00:00,2026-02-13 07:20:00+00:00,SELL,25602.45,25556.95,45.5,2837.5,Target Hit
2026-02-13 08:15:00+00:00,2026-02-13 09:35:00+00:00,BUY,25510.3,25483.8,-26.5,-1842.5,Stop Loss Hit
2026-02-16 04:40:00+00:00,2026-02-16 05:20:00+00:00,SELL,25551.45,25513.6,37.85,2340.22,Target Hit
2026-02-17 08:25:00+00:00,2026-02-17 08:40:00+00:00,BUY,25698.85,25670.95,-27.9,-1933.53,Stop Loss Hit
2026-02-18 08:20:00+00:00,2026-02-18 08:35:00+00:00,BUY,25700.0,25735.45,35.45,2184.2,Target Hit
2026-02-20 09:15:00+00:00,2026-02-20 09:30:00+00:00,SELL,25649.85,25598.0,51.85,3250.22,Target Hit
2026-02-23 08:55:00+00:00,2026-02-23 09:00:00+00:00,SELL,25673.45,25693.6,-20.15,-1429.78,Stop Loss Hit
2026-02-23 09:15:00+00:00,2026-02-23 09:30:00+00:00,SELL,25698.55,25717.2,-18.65,-1332.15,Stop Loss Hit
2026-02-24 03:45:00+00:00,2026-02-24 03:55:00+00:00,BUY,25571.45,25548.65,-22.8,-1601.92,Stop Loss Hit
